song,performer,debut,last,weeks,top40_weeks,peak,debut_pos,weeks_to_peak,w1,w2,w3,year,era,censored,prior_hits
Just Like In The Movies — The Upbeats,The Upbeats,1958-08-04,1958-08-25,3,0,75,88,2,88,75,92,1958,Radio & sales (–1990),False,0
Jennie Lee — Jan & Arnie,Jan & Arnie,1958-08-04,1958-08-11,2,0,44,44,0,44,77,101,1958,Radio & sales (–1990),False,0
Jealousy — Kitty Wells,Kitty Wells,1958-08-04,1958-08-11,2,0,83,87,1,87,83,101,1958,Radio & sales (–1990),False,0
Angel Baby — Dean Martin,Dean Martin,1958-08-04,1958-09-08,6,3,30,30,0,30,39,40,1958,Radio & sales (–1990),False,0
Fool's Paradise — The Crickets,The Crickets,1958-08-04,1958-08-04,1,0,58,58,0,58,101,101,1958,Radio & sales (–1990),False,0
The Purple People Eater — Sheb Wooley,Sheb Wooley,1958-08-04,1958-08-25,4,1,24,24,0,24,47,81,1958,Radio & sales (–1990),False,0
The Purple People Eater Meets The Witch Doctor — Joe South,Joe South,1958-08-04,1958-08-11,2,0,89,91,1,91,89,101,1958,Radio & sales (–1990),False,0
Secretly — Jimmie Rodgers,Jimmie Rodgers,1958-08-04,1958-08-18,3,1,28,28,0,28,41,77,1958,Radio & sales (–1990),False,0
Itchy Twitchy Feeling — Bobby Hendricks,Bobby Hendricks,1958-08-04,1958-11-03,14,4,25,61,9,61,50,41,1958,Radio & sales (–1990),False,0
Win Your Love For Me — Sam Cooke,Sam Cooke,1958-08-04,1958-11-24,17,6,33,74,10,74,61,54,1958,Radio & sales (–1990),False,0
Willie And The Hand Jive — The Johnny Otis Show,The Johnny Otis Show,1958-08-04,1958-10-06,10,7,9,9,0,9,9,12,1958,Radio & sales (–1990),False,0
(It's Been A Long Time) Pretty Baby — Gino & Gina,Gino & Gina,1958-08-04,1958-08-04,1,0,46,46,0,46,101,101,1958,Radio & sales (–1990),False,0
Stay — The Ames Brothers,The Ames Brothers,1958-08-04,1958-08-04,1,0,90,90,0,90,101,101,1958,Radio & sales (–1990),False,0
Hey Girl - Hey Boy — Oscar McLollie and Jeanette Baker,Oscar McLollie and Jeanette Baker,1958-08-04,1958-09-08,5,0,61,73,2,73,61,76,1958,Radio & sales (–1990),False,0
By The Light Of The Silvery Moon — Jimmy Bowen with the Rhythm Orchids,Jimmy Bowen with the Rhythm Orchids,1958-08-04,1958-09-22,8,0,50,50,0,50,69,58,1958,Radio & sales (–1990),False,0
To Be Loved — Jackie Wilson,Jackie Wilson,1958-08-04,1958-08-04,1,0,86,86,0,86,101,101,1958,Radio & sales (–1990),False,0
Are You Really Mine — Jimmie Rodgers,Jimmie Rodgers,1958-08-04,1958-10-27,13,10,10,93,4,93,26,24,1958,Radio & sales (–1990),False,1
Fever — Peggy Lee,Peggy Lee,1958-08-04,1958-10-20,12,10,8,10,3,10,13,9,1958,Radio & sales (–1990),False,0
You Need Hands — Eydie Gorme,Eydie Gorme,1958-08-04,1958-08-11,2,0,57,57,0,57,64,101,1958,Radio & sales (–1990),False,0
Midnight — Paul Anka,Paul Anka,1958-08-04,1958-08-25,4,0,69,76,2,76,71,69,1958,Radio & sales (–1990),False,0
Try The Impossible — Lee Andrews And The Hearts,Lee Andrews And The Hearts,1958-08-04,1958-08-11,2,0,70,83,1,83,70,101,1958,Radio & sales (–1990),False,0
Rock-in Robin — Bobby Day,Bobby Day,1958-08-04,1958-12-22,21,19,2,35,10,35,33,38,1958,Radio & sales (–1990),False,0
Stupid Cupid — Connie Francis,Connie Francis,1958-08-04,1958-10-27,13,9,17,72,7,72,35,31,1958,Radio & sales (–1990),False,0
Return To Me — Dean Martin,Dean Martin,1958-08-04,1958-08-25,4,0,48,48,0,48,63,92,1958,Radio & sales (–1990),False,1
One Summer Night — The Danleers,The Danleers,1958-08-04,1958-09-22,8,6,16,16,0,16,17,21,1958,Radio & sales (–1990),False,0
Born Too Late — Poni-Tails,Poni-Tails,1958-08-04,1958-11-03,14,11,7,26,6,26,18,16,1958,Radio & sales (–1990),False,0
Don't Ask Me Why — Elvis Presley With The Jordanaires,Elvis Presley With The Jordanaires,1958-08-04,1958-09-01,5,1,34,34,0,34,54,55,1958,Radio & sales (–1990),False,0
Rebel-'rouser — Duane Eddy His Twangy Guitar And The Rebels,Duane Eddy His Twangy Guitar And The Rebels,1958-08-04,1958-09-22,8,6,6,6,0,6,8,8,1958,Radio & sales (–1990),False,0
I Believe In You — Robert & Johnny,Robert & Johnny,1958-08-04,1958-08-11,2,0,93,97,1,97,93,101,1958,Radio & sales (–1990),False,0
Summertime Blues — Eddie Cochran,Eddie Cochran,1958-08-04,1958-11-17,16,12,8,84,8,84,52,44,1958,Radio & sales (–1990),False,0
Op — The Honeycones,The Honeycones,1958-08-04,1958-08-04,1,0,69,69,0,69,101,101,1958,Radio & sales (–1990),False,0
High School Confidential — Jerry Lee Lewis And His Pumping Piano,Jerry Lee Lewis And His Pumping Piano,1958-08-04,1958-08-11,2,0,63,63,0,63,66,101,1958,Radio & sales (–1990),False,0
If Dreams Came True — Pat Boone,Pat Boone,1958-08-04,1958-10-06,10,6,12,14,1,14,12,15,1958,Radio & sales (–1990),False,0
Hard Headed Woman — Elvis Presley With The Jordanaires,Elvis Presley With The Jordanaires,1958-08-04,1958-09-22,8,5,4,4,0,4,7,13,1958,Radio & sales (–1990),False,1
Let's Go Steady For The Summer — The Three G's,The Three G's,1958-08-04,1958-08-18,3,0,55,55,0,55,75,80,1958,Radio & sales (–1990),False,0
Come What May — Clyde McPhatter,Clyde McPhatter,1958-08-04,1958-08-18,3,0,43,43,0,43,49,53,1958,Radio & sales (–1990),False,0
Come Closer To Me (Acercate Mas) — Nat King Cole,Nat King Cole,1958-08-04,1958-09-29,9,0,41,53,5,53,46,48,1958,Radio & sales (–1990),False,0
Ginger Bread — Frankie Avalon,Frankie Avalon,1958-08-04,1958-10-13,11,8,9,11,4,11,15,11,1958,Radio & sales (–1990),False,0
All I Have To Do Is Dream — The Everly Brothers,The Everly Brothers,1958-08-04,1961-07-31,4,0,49,49,0,49,91,100,1958,Radio & sales (–1990),False,0
You Cheated — The Slades,The Slades,1958-08-04,1958-11-03,12,0,42,42,0,42,48,49,1958,Radio & sales (–1990),False,0
Think It Over — The Crickets,The Crickets,1958-08-04,1958-09-15,7,4,27,27,0,27,32,28,1958,Radio & sales (–1990),False,0
My True Love — Jack Scott,Jack Scott,1958-08-04,1958-11-03,14,11,3,8,2,8,6,3,1958,Radio & sales (–1990),False,0
Yakety Yak — The Coasters,The Coasters,1958-08-04,1958-09-15,7,5,7,7,0,7,11,18,1958,Radio & sales (–1990),False,0
Left Right Out Of Your Heart (Hi Lee Hi Lo Hi Lup Up Up) — Patti Page,Patti Page,1958-08-04,1958-09-15,7,5,13,13,0,13,19,23,1958,Radio & sales (–1990),False,0
Leroy — Jack Scott,Jack Scott,1958-08-04,1958-09-08,5,0,56,56,0,56,56,83,1958,Radio & sales (–1990),False,1
That's How Much I Love You — Pat Boone,Pat Boone,1958-08-04,1958-09-08,6,1,39,39,0,39,57,45,1958,Radio & sales (–1990),False,1
Nel Blu Dipinto Di Blu (Volaré) — Domenico Modugno,Domenico Modugno,1958-08-04,1958-11-17,16,13,1,54,2,54,2,1,1958,Radio & sales (–1990),False,0
Kathy-O — The Diamonds,The Diamonds,1958-08-04,1958-09-15,7,0,45,45,0,45,74,56,1958,Radio & sales (–1990),False,0
Got A Match? — Frank Gallup,Frank Gallup,1958-08-04,1958-08-04,1,0,71,71,0,71,101,101,1958,Radio & sales (–1990),False,0
Happy Years — The Diamonds,The Diamonds,1958-08-04,1958-08-25,4,0,73,77,2,77,80,73,1958,Radio & sales (–1990),False,0
Moon Talk — Perry Como,Perry Como,1958-08-04,1958-09-29,9,6,29,37,5,37,30,34,1958,Radio & sales (–1990),False,0
Crazy Eyes For You — Bobby Hamilton,Bobby Hamilton,1958-08-04,1958-08-18,3,1,40,40,0,40,62,62,1958,Radio & sales (–1990),False,0
Gotta Have Rain — Eydie Gorme,Eydie Gorme,1958-08-04,1958-09-15,7,0,63,74,5,74,98,87,1958,Radio & sales (–1990),False,0
